,restaurant_name,place_id,price_level,restaurant_rating,google_maps_url,address,restaurant_website
0,Popeyes Louisiana Kitchen,ChIJ3dh_VfcKw4kR3lrLsxKB7tY,1.0,3.7,https://maps.google.com/?cid=15487458085899557598,"Rockaway Townsquare Mall-301 Mt Hope Road - Suite 2109, Rockaway, NJ 07866, USA",https://www.popeyes.com/store-locator/store/restaurant_83200
1,Buffalo Wild Wings,ChIJAYlPufkKw4kRr7-IhJCnC3Y,2.0,4.2,https://maps.google.com/?cid=8506076560359997359,"343 Mt Hope Ave, Rockaway, NJ 07866, USA",https://www.buffalowildwings.com/en/locations/detail/3634/?utm_source=google&utm_medium=organic&utm_campaign=rio
2,Auntie Anne's,ChIJ3fcDtfsKw4kRsy2xOBfI0aQ,1.0,4.2,https://maps.google.com/?cid=11876493694413647283,"301 Mt Hope Ave Suite 1048, Rockaway, NJ 07866, USA",https://www.auntieannes.com/nj/rockaway/119-1?utm_source=google&utm_medium=organic&utm_campaign=localmaps
3,Tabor Road Tavern,ChIJg8StYWinw4kRMFNslu1L9xg,3.0,4.4,https://maps.google.com/?cid=1798990059960816432,"510 Tabor Rd, Morris Plains, NJ 07950, USA",http://www.taborroadtavern.com/
4,Subway,ChIJ6YlEVO8Jw4kR4n_aDP4NbIc,1.0,3.4,https://maps.google.com/?cid=9758189877393522658,"559 E Main St Store # 2, Denville, NJ 07834, USA",https://order.subway.com/en-us/restaurant/21972/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=21972&utm_campaign=evergreen-2020&y_source=1_MTQ5MTIyMjQtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl
5,Cinnamon,ChIJ8UdTNlGnw4kRfDz6N0jepj0,2.0,4.2,https://maps.google.com/?cid=4442482484205730940,"2920 NJ-10, Morris Plains, NJ 07950, USA",http://www.cinnamonindianrestaurant.com/
6,The Quiet Man Pub/Restaurant,ChIJoeLjXo4Kw4kR8tGS2GzB-Ok,2.0,4.7,https://maps.google.com/?cid=16859437878295581170,"64 E McFarlan St, Dover, NJ 07801, USA",http://www.quietmanpub.com/
7,Starbucks,ChIJ7_RdwKmgw4kRgl8rjDMyWTs,2.0,4.2,https://maps.google.com/?cid=4276504518141370242,"3056 NJ-10 West, Denville, NJ 07834, USA",https://www.starbucks.com/store-locator/store/12861/
8,Casa Bella,ChIJl_hUu7sJw4kRR_KwUyifn_g,2.0,4.5,https://maps.google.com/?cid=17915212838254735943,"300 US-46, Denville, NJ 07834, USA",http://casabella46.com/
9,Thatcher McGhee's Denville,ChIJud_J3pcJw4kRKAy-RBsmx4w,2.0,4.4,https://maps.google.com/?cid=10144118584234609704,"53 Broadway, Denville, NJ 07834, USA",http://www.thatchermcghees.com/denville
