,restaurant_id,restaurant_name,yelp_price_level,yelp_rating,yelp_url,yelp_cuisine
0,1,Rosie’s Trattoria,$$$,4.5,https://www.yelp.com/biz/rosie-s-trattoria-randolph?osq=Restaurants,"Italian, Bars, Venues & Event Spaces"
1,2,SubUrban Bar & Kitchen,$$,4.0,https://www.yelp.com/biz/suburban-bar-and-kitchen-randolph?osq=Restaurants,"American (New), Bars, Pizza"
2,3,4 Seasons Mediterranean Restaurant,$$,4.5,https://www.yelp.com/biz/4-seasons-mediterranean-restaurant-wharton?osq=Restaurants,"Wine Bars, French, Italian"
3,4,Quiet Man Pub,$$,4.5,https://www.yelp.com/biz/quiet-man-pub-dover-2?osq=Restaurants,"Irish Pub, Seafood, Tapas/Small Plates"
4,5,Verona Restaurant,$$,4.5,https://www.yelp.com/biz/verona-restaurant-randolph?osq=Restaurants,Italian
5,6,El Lechon De Negron,,4.0,https://www.yelp.com/biz/el-lechon-de-negron-denville?osq=Restaurants,"Puerto Rican, Empanadas"
6,7,The Corner Bistro,$$,4.0,https://www.yelp.com/biz/the-corner-bistro-randolph-2?osq=Restaurants,"Diners, Italian"
7,8,ALEV Mediterranean Grill,$$,4.5,https://www.yelp.com/biz/alev-mediterranean-grill-rockaway-2?osq=Restaurants,"Mediterranean, Turkish, Kebab"
8,9,Mr Crabby’s Craft Kitchen & Bar,$$,3.5,https://www.yelp.com/biz/mr-crabbys-craft-kitchen-and-bar-randolph-2?osq=Restaurants,"Seafood, Sports Bars, Gluten-Free"
9,10,Kabab Paradise,$$,4.5,https://www.yelp.com/biz/kabab-paradise-randolph-2?osq=Restaurants,"Afghan, Salad, Halal"
10,11,Takashi Japanese Cuisine,,5.0,https://www.yelp.com/biz/takashi-japanese-cuisine-morristown?osq=Restaurants,Japanese
11,12,Up Thai,$$,4.0,https://www.yelp.com/biz/up-thai-morris-plains?osq=Restaurants,Thai
12,13,The Windlass,$$,4.0,https://www.yelp.com/biz/the-windlass-lake-hopatcong-3?osq=Restaurants,"American (Traditional), Seafood, Italian"
13,14,Noches de Colombia,$$,3.5,https://www.yelp.com/biz/noches-de-colombia-randolph-2?osq=Restaurants,"Colombian, Spanish, Bars"
14,15,Black River Barn,$$,3.5,https://www.yelp.com/biz/black-river-barn-randolph-2?osq=Restaurants,"American (Traditional), Bars, Seafood"
15,16,American Heroes Smokehouse,$$,4.0,https://www.yelp.com/biz/american-heroes-smokehouse-randolph?osq=Restaurants,"Barbeque, American (Traditional), Comfort Food"
16,17,Pierogies House,$$,4.5,https://www.yelp.com/biz/pierogies-house-morristown-4?osq=Restaurants,Polish
17,18,Taphouse 15,$$,3.5,https://www.yelp.com/biz/taphouse-15-jefferson?osq=Restaurants,"Bars, Gastropubs, American (New)"
20,19,Thai Nam Phet,$$,4.0,https://www.yelp.com/biz/thai-nam-phet-rockaway?osq=Restaurants,Thai
21,20,La Strada Ristorante,$$,4.0,https://www.yelp.com/biz/la-strada-ristorante-randolph?osq=Restaurants,"Italian, Cocktail Bars, Venues & Event Spaces"
22,21,Ichiban,$$,4.5,https://www.yelp.com/biz/ichiban-ledgewood?osq=Restaurants,"Japanese, Desserts, Sushi Bars"
23,22,Zuzannas Gourmet,$$,4.5,https://www.yelp.com/biz/zuzannas-gourmet-randolph?osq=Restaurants,"Delis, Sandwiches"
24,23,Spain Rincon,$$,3.5,https://www.yelp.com/biz/spain-rincon-wharton?osq=Restaurants,"Portuguese, Spanish, Iberian"
25,24,Barka,$$$,4.5,https://www.yelp.com/biz/barka-mountain-lakes?osq=Restaurants,Mediterranean
26,25,Randolph Diner,$$,3.0,https://www.yelp.com/biz/randolph-diner-randolph?osq=Restaurants,Diners
27,26,Stirling Tavern,$$,4.0,https://www.yelp.com/biz/stirling-tavern-morristown-2?osq=Restaurants,"Bars, American (New)"
28,27,The Pasta Shop,$$,4.5,https://www.yelp.com/biz/the-pasta-shop-denville?osq=Restaurants,"Pasta Shops, Italian, Coffee & Tea"
29,28,Knotty Pine Pub,$,4.5,https://www.yelp.com/biz/knotty-pine-pub-wharton?osq=Restaurants,"Pubs, Chicken Wings, American (Traditional)"
30,29,JA Spice Island Jerk and American Food,,4.5,https://www.yelp.com/biz/ja-spice-island-jerk-and-american-food-netcong?osq=Restaurants,Caribbean
31,30,Bruno’s Italian Bistro,$$,4.5,https://www.yelp.com/biz/brunos-italian-bistro-morris-plains?osq=Restaurants,Italian
33,31,Lotus Thai Cuisine,$$,4.0,https://www.yelp.com/biz/lotus-thai-cuisine-randolph?osq=Restaurants,Thai
34,32,New Horizon Chinese Restaurant,$,4.0,https://www.yelp.com/biz/new-horizon-chinese-restaurant-randolph?osq=Restaurants,Chinese
35,33,Caffe Navona,$$$,4.5,https://www.yelp.com/biz/caffe-navona-rockaway-2?osq=Restaurants,"Italian, Wine Bars, Cafes"
36,34,Miller’s Ale House - Rockaway,$$,3.5,https://www.yelp.com/biz/millers-ale-house-rockaway-rockaway-2?osq=Restaurants,"Sports Bars, American (Traditional), Seafood"
37,35,Cheek’s Chicken,,4.0,https://www.yelp.com/biz/cheeks-chicken-rockaway?osq=Restaurants,Chicken Shop
38,36,Istanbul Turkish Mediterranean Cuisine,$$,4.0,https://www.yelp.com/biz/istanbul-turkish-mediterranean-cuisine-flanders-2?osq=Restaurants,"Turkish, Mediterranean"
39,37,Cinders Wood Fire Grill,$$,3.5,https://www.yelp.com/biz/cinders-wood-fire-grill-mine-hill-township?osq=Restaurants,"Tapas/Small Plates, American (New), Cocktail Bars"
40,38,Rocco’s Burgers Dogs and Fries,,4.5,https://www.yelp.com/biz/roccos-burgers-dogs-and-fries-roxbury-township?osq=Restaurants,"Burgers, Hot Dogs"
41,39,Pren Kitchen,$$,5.0,https://www.yelp.com/biz/pren-kitchen-chester?osq=Restaurants,"Comfort Food, American (Traditional), Desserts"
42,40,Carmel Haifa,$,4.5,https://www.yelp.com/biz/carmel-haifa-morris-plains?osq=Restaurants,"Middle Eastern, Mediterranean"
43,41,South + Pine American Eatery,$$$,4.0,https://www.yelp.com/biz/south-pine-american-eatery-morristown?osq=Restaurants,American (New)
44,42,Fig & Lily Garden,$$,4.0,https://www.yelp.com/biz/fig-and-lily-garden-morristown-2?osq=Restaurants,Mediterranean
45,43,Taqueria Pancho Villa,$,4.5,https://www.yelp.com/biz/taqueria-pancho-villa-dover?osq=Restaurants,Mexican
46,44,Cinnamon,$$,4.0,https://www.yelp.com/biz/cinnamon-morris-plains?osq=Restaurants,Indian
47,45,Beanbury,,5.0,https://www.yelp.com/biz/beanbury-succasunna?osq=Restaurants,"Coffee & Tea, Breakfast & Brunch"
48,46,Bucky’s,,5.0,https://www.yelp.com/biz/buckys-rockaway-township?osq=Restaurants,Buffets
49,47,Jai-Alai,$$$,4.0,https://www.yelp.com/biz/jai-alai-dover?osq=Restaurants,Spanish
50,48,H2Ocean Restaurant & Raw Bar,$$$,4.0,https://www.yelp.com/biz/h2ocean-restaurant-and-raw-bar-cedar-knolls-2?osq=Restaurants,"American (New), Seafood, Bars"
52,49,The Alibi Beach Bar,,4.0,https://www.yelp.com/biz/the-alibi-beach-bar-stanhope?osq=Restaurants,"Bars, American (Traditional)"
53,50,Riviera Maya,$$,3.5,https://www.yelp.com/biz/riviera-maya-rockaway?osq=Restaurants,Mexican
54,51,La Bamba Grill,,4.5,https://www.yelp.com/biz/la-bamba-grill-dover?osq=Restaurants,Mexican
55,52,Bollywood Grill 2,,4.0,https://www.yelp.com/biz/bollywood-grill-2-morris-plains?osq=Restaurants,Indian
56,53,Table 42,$$,4.0,https://www.yelp.com/biz/table-42-dover?osq=Restaurants,"Italian, Bars, Pizza"
57,54,Thai Kitchen,$$,4.0,https://www.yelp.com/biz/thai-kitchen-chester?osq=Restaurants,Thai
58,55,The Clay Oven Indian Restaurant,$$,4.0,https://www.yelp.com/biz/the-clay-oven-indian-restaurant-ledgewood?osq=Restaurants,Indian
59,56,Sapori D’Italia,$$,5.0,https://www.yelp.com/biz/sapori-d-italia-mendham?osq=Restaurants,"Pizza, Italian"
60,57,Madame Thai Cuisine,$$,4.5,https://www.yelp.com/biz/madame-thai-cuisine-morristown?osq=Restaurants,Thai
61,58,NJ Bar & Grill,$$,3.5,https://www.yelp.com/biz/nj-bar-and-grill-mine-hill?osq=Restaurants,"Bars, American (New)"
62,59,Asian Diner,$$,4.0,https://www.yelp.com/biz/asian-diner-roxbury-township?osq=Restaurants,Asian Fusion
